sector,activity_area,Secteur d'activité connexe,label,category,Qualification,Expositions,Risques,Examens utiles
,Santé - Médecine,Entretien - Nettoyage,,Agent de propreté hospitalière,,,,
,,Transport,,Ambulancier,,,,
,,,,Anesthésiste-réanimateur,,,,
,,,,Chirurgien,,,,
,,,,Infirmier,,,,
,,,,Infirmier anesthésiste,,,,
,,,,Infirmier de bloc opératoire,,,,
,,,Ingénierie,Ingénieur sécurité sanitaire,,,,
,,,,Kinésithérapeuthe,,,,
,,Humanitaire - Social - Service à la personne,Humanitaire,Logisticien humanitaire,,,,
,,,,Médecin,,,,
,,Tourisme - Sport - Loisirs - Animation,,Pisteur secouriste,,,,
,,Humanitaire - Social - Service à la personne,,Responsable de mission humanitaire,,,,
